role,anger,anticipation,disgust,fear,joy,sadness,surprise,trust
therapist,-1.7007867116616127,3.118889564235924,-2.4452076053509715,-0.5780103412287508,2.2901512164170046,0.4668719557881176,0.20365752819718938,1.6688870605600095
patient,-2.179698596345259,2.0221556508470386,-1.949783385470451,-1.9882418569003029,2.671600638232143,0.9097746448108404,1.914296380726178,1.685177677558042
