role,anger,anticipation,disgust,fear,joy,sadness,surprise,trust
therapist,-1.6440017828627518,2.432481052328288,-1.8569001818459163,-0.6076768898057989,1.227338702269614,-0.08836186955472919,1.016208665542355,2.363510939068549
patient,-1.407264137716195,2.1443500706418686,-1.2046784778225004,-0.4202039320953021,0.8388666952510188,0.9733786832959502,1.2653347013435192,1.6181069718155718
