emotion,pearson_corr,p_value,n_pairs
anger,0.26451504414274674,7.6563108601893e-16,898
trust,0.16267284833095536,9.55211897235647e-07,898
surprise,0.17311761290299318,1.7893256815720775e-07,898
disgust,0.30600428382252437,6.4032294208625734e-21,898
joy,0.2769831080788661,2.7991447970736e-17,898
sadness,0.26694101261219066,4.076259979456068e-16,898
fear,0.3819504693757076,1.4452097327396025e-32,898
anticipation,0.07923550391192924,0.017556089084017155,898
