role,anger,anticipation,disgust,fear,joy,sadness,surprise,trust
therapist,-3.613478445128133,3.188263360190046,-3.393674894068566,-2.2245326807706918,4.366078445981855,0.570334067363548,0.5759735506851141,3.065635222041849
patient,-2.9004395920454074,2.7354854375847055,-2.3065387123412604,-2.4312582050335148,4.142408395512909,0.6277359051553255,1.6316334541249973,2.582841937765161
