emotion,pearson_corr,p_value,n_pairs
anger,0.2552991599161405,2.4155058558061464e-16,1000
trust,0.24350788986640193,5.782792696429632e-15,1000
surprise,0.09121641347400711,0.0038902223862654216,1000
disgust,0.3407083734618558,1.3371058148865e-28,1000
joy,0.2318560804237163,1.134996386619258e-13,1000
sadness,0.29458306121283206,1.802720482248762e-21,1000
fear,0.1396152059589053,9.370222380137718e-06,1000
anticipation,0.29321698248846306,2.8078328831916043e-21,1000
