model,role,step,emotion,normalized_freq
gemma3,patient,8,disgust,0.07530498586892015
gemma3,patient,8,joy,0.21295390792375107
gemma3,patient,8,sadness,0.08613371263930948
gemma3,patient,8,fear,0.05469527585675821
gemma3,patient,8,anticipation,0.06173912364787028
gemma3,therapist,9,anger,0.0036841356583087828
gemma3,therapist,9,trust,0.1647733032178359
gemma3,therapist,9,surprise,0.28591438555773435
gemma3,therapist,9,disgust,0.047121056624498864
gemma3,therapist,9,joy,0.12594130479516788
gemma3,therapist,9,sadness,0.01981717910998112
gemma3,therapist,9,fear,0.02735472002323319
gemma3,therapist,9,anticipation,0.32539391501323983
gemma3,patient,9,anger,0.0068920672721615095
gemma3,patient,9,trust,0.14826245979459912
gemma3,patient,9,surprise,0.32671853907854653
gemma3,patient,9,disgust,0.12177499048714484
gemma3,patient,9,joy,0.21707687001068582
gemma3,patient,9,sadness,0.024003815757032674
gemma3,patient,9,fear,0.044611207967231066
gemma3,patient,9,anticipation,0.1106600496325985
gemma3,therapist,0,anger,0.03499851904855625
gemma3,therapist,0,trust,0.0588313009338593
gemma3,therapist,0,surprise,0.10783764691196317
gemma3,therapist,0,disgust,0.30232761101351013
gemma3,therapist,0,joy,0.04728561414722876
gemma3,therapist,0,sadness,0.022863008059881593
gemma3,therapist,0,fear,0.1225916351690957
gemma3,therapist,0,anticipation,0.3032646647159051
gemma3,patient,0,anger,0.0
gemma3,patient,0,trust,0.0
gemma3,patient,0,surprise,0.0
gemma3,patient,0,disgust,0.0
gemma3,patient,0,joy,0.0
gemma3,patient,0,sadness,0.0
gemma3,patient,0,fear,0.0
gemma3,patient,0,anticipation,0.0
gemma3,therapist,1,anger,0.10830111215210227
gemma3,therapist,1,trust,0.08431055057555359
gemma3,therapist,1,surprise,0.32326594984208756
gemma3,therapist,1,disgust,0.053276903495314026
gemma3,therapist,1,joy,0.03341903488780338
gemma3,therapist,1,sadness,0.08778773732219554
gemma3,therapist,1,fear,0.06992488111640763
gemma3,therapist,1,anticipation,0.23971383060853602
gemma3,patient,1,anger,0.2667341391048682
gemma3,patient,1,trust,0.022196395159771877
gemma3,patient,1,surprise,0.03801390821690304
gemma3,patient,1,disgust,0.21023860963950863
gemma3,patient,1,joy,0.0948676780394072
gemma3,patient,1,sadness,0.028132909506816073
gemma3,patient,1,fear,0.03883337071976649
gemma3,patient,1,anticipation,0.30098298961295833
gemma3,therapist,2,anger,0.1422945281817707
gemma3,therapist,2,trust,0.16558332782023985
gemma3,therapist,2,surprise,0.02224587780526563
gemma3,therapist,2,disgust,0.10259290175403882
gemma3,therapist,2,joy,0.05549954183707318
gemma3,therapist,2,sadness,0.2112860145483856
gemma3,therapist,2,fear,0.08747401707834002
gemma3,therapist,2,anticipation,0.21302379097488622
gemma3,patient,2,anger,0.11586854689164408
gemma3,patient,2,trust,0.3084315105811186
gemma3,patient,2,surprise,0.12434020347013136
gemma3,patient,2,disgust,0.05699957524183708
gemma3,patient,2,joy,0.08083548630587334
gemma3,patient,2,sadness,0.023971677901064976
gemma3,patient,2,fear,0.03308939853808403
gemma3,patient,2,anticipation,0.2564636010702465
gemma3,therapist,3,anger,0.22957346230113748
gemma3,therapist,3,trust,0.10093290737614688
gemma3,therapist,3,surprise,0.04761000354784324
gemma3,therapist,3,disgust,0.1746732914137838
gemma3,therapist,3,joy,0.1900592815492931
gemma3,therapist,3,sadness,0.034430924510838366
gemma3,therapist,3,fear,0.06399004014213959
gemma3,therapist,3,anticipation,0.15873008915881753
gemma3,patient,3,anger,0.04227749038879278
gemma3,patient,3,trust,0.1503531962102352
gemma3,patient,3,surprise,0.18926133796404582
gemma3,patient,3,disgust,0.07487866971774738
gemma3,patient,3,joy,0.008096990907350854
gemma3,patient,3,sadness,0.11435425836604925
gemma3,patient,3,fear,0.406790181771056
gemma3,patient,3,anticipation,0.01398787467472281
gemma3,therapist,4,anger,0.242884152265869
gemma3,therapist,4,trust,0.1276360897771398
gemma3,therapist,4,surprise,0.06881702324467286
gemma3,therapist,4,disgust,0.2548194142116002
gemma3,therapist,4,joy,0.010860883413359836
gemma3,therapist,4,sadness,0.043558659085591866
gemma3,therapist,4,fear,0.10991490384041228
gemma3,therapist,4,anticipation,0.1415088741613543
gemma3,patient,4,anger,0.24973887681701432
gemma3,patient,4,trust,0.12146192342391463
gemma3,patient,4,surprise,0.025712208209314264
gemma3,patient,4,disgust,0.2284740974026775
gemma3,patient,4,joy,0.06584111234383448
gemma3,patient,4,sadness,0.06383095274175771
gemma3,patient,4,fear,0.07635772992238209
gemma3,patient,4,anticipation,0.16858309913910496
gemma3,therapist,5,anger,0.1899234154368826
gemma3,therapist,5,trust,0.07537558443406175
gemma3,therapist,5,surprise,0.15803719407605255
gemma3,therapist,5,disgust,0.14969675397920681
gemma3,therapist,5,joy,0.16497515906021343
gemma3,therapist,5,sadness,0.02003155005820451
gemma3,therapist,5,fear,0.02765062779281137
gemma3,therapist,5,anticipation,0.21430971516256692
gemma3,patient,5,anger,0.0
gemma3,patient,5,trust,0.5
gemma3,patient,5,surprise,0.0
gemma3,patient,5,disgust,0.0
gemma3,patient,5,joy,0.0
gemma3,patient,5,sadness,0.5
gemma3,patient,5,fear,0.0
gemma3,patient,5,anticipation,0.0
gemma3,therapist,6,anger,0.06875342774003397
gemma3,therapist,6,trust,0.3146071759264866
gemma3,therapist,6,surprise,0.1702954810458588
gemma3,therapist,6,disgust,0.026369890806077635
gemma3,therapist,6,joy,0.17880283877249764
gemma3,therapist,6,sadness,0.051691934433482405
gemma3,therapist,6,fear,0.0983302909462562
gemma3,therapist,6,anticipation,0.09114896032930682
gemma3,patient,6,anger,0.16296885120915636
gemma3,patient,6,trust,0.12686844390676677
gemma3,patient,6,surprise,0.04555807338237493
gemma3,patient,6,disgust,0.08016977467801446
gemma3,patient,6,joy,0.2776780023715798
gemma3,patient,6,sadness,0.033716111178522155
gemma3,patient,6,fear,0.10522124214637235
gemma3,patient,6,anticipation,0.16781950112721328
gemma3,therapist,7,anger,0.03654682356280048
gemma3,therapist,7,trust,0.2592863796579564
gemma3,therapist,7,surprise,0.014338969765686828
gemma3,therapist,7,disgust,0.06763044916712999
gemma3,therapist,7,joy,0.021742166919101705
gemma3,therapist,7,sadness,0.02263794223418441
gemma3,therapist,7,fear,0.1322429877925635
gemma3,therapist,7,anticipation,0.44557428090057666
gemma3,patient,7,anger,0.12866412660841384
gemma3,patient,7,trust,0.07719225545989315
gemma3,patient,7,surprise,0.2683991283175635
gemma3,patient,7,disgust,0.04008838028881844
gemma3,patient,7,joy,0.1431742725493768
gemma3,patient,7,sadness,0.013118988031614017
gemma3,patient,7,fear,0.2105373230095321
gemma3,patient,7,anticipation,0.118825525734788
gemma3,therapist,8,anger,0.11048539606436496
gemma3,therapist,8,trust,0.06533389234580897
gemma3,therapist,8,surprise,0.21489621086109156
gemma3,therapist,8,disgust,0.12024908110046816
gemma3,therapist,8,joy,0.04352421765454194
gemma3,therapist,8,sadness,0.02527655689737309
gemma3,therapist,8,fear,0.18979327514633834
gemma3,therapist,8,anticipation,0.2304413699300131
gemma3,patient,8,anger,0.013236179349637372
gemma3,patient,8,trust,0.12734167553474707
gemma3,patient,8,surprise,0.04513997751894901
gemma3,patient,8,disgust,0.08660637948689928
gemma3,patient,8,joy,0.2915594513124802
gemma3,patient,8,sadness,0.039057354940759285
gemma3,patient,8,fear,0.2558765218625992
gemma3,patient,8,anticipation,0.1411824599939287
gemma3,therapist,9,anger,0.04510121564947234
gemma3,therapist,9,trust,0.06966944342609656
gemma3,therapist,9,surprise,0.011796829465124132
gemma3,therapist,9,disgust,0.21849003960394997
gemma3,therapist,9,joy,0.1805013571010195
gemma3,therapist,9,sadness,0.01862448616197447
gemma3,therapist,9,fear,0.17679638082199683
gemma3,therapist,9,anticipation,0.2790202477703663
gemma3,patient,9,anger,0.14452629674435946
gemma3,patient,9,trust,0.02359106495997704
gemma3,patient,9,surprise,0.04040244245393861
gemma3,patient,9,disgust,0.07109727140539703
gemma3,patient,9,joy,0.19002296997551904
gemma3,patient,9,sadness,0.11715148923793603
gemma3,patient,9,fear,0.09331376120912546
gemma3,patient,9,anticipation,0.3198947040137472
gemma3,therapist,0,anger,0.17848688782931837
gemma3,therapist,0,trust,0.07349279843063443
gemma3,therapist,0,surprise,0.06683450261175623
gemma3,therapist,0,disgust,0.14940275083965054
gemma3,therapist,0,joy,0.04521770768034416
gemma3,therapist,0,sadness,0.16627725452779374
gemma3,therapist,0,fear,0.07126859795501335
gemma3,therapist,0,anticipation,0.24901950012548918
gemma3,patient,0,anger,0.0
gemma3,patient,0,trust,0.0
gemma3,patient,0,surprise,0.0
gemma3,patient,0,disgust,0.0
gemma3,patient,0,joy,0.0
gemma3,patient,0,sadness,0.0
gemma3,patient,0,fear,0.0
gemma3,patient,0,anticipation,0.0
gemma3,therapist,1,anger,0.10496869083500203
gemma3,therapist,1,trust,0.17474836004537725
gemma3,therapist,1,surprise,0.12805698871476084
gemma3,therapist,1,disgust,0.1274284741794762
gemma3,therapist,1,joy,0.006782373219741798
gemma3,therapist,1,sadness,0.1540238116138429
gemma3,therapist,1,fear,0.02343260719812142
gemma3,therapist,1,anticipation,0.2805586941936776
gemma3,patient,1,anger,0.04988032058241933
gemma3,patient,1,trust,0.3233560700118651
gemma3,patient,1,surprise,0.28396582350565913
gemma3,patient,1,disgust,0.016664921597287215
gemma3,patient,1,joy,0.006745967002796351
gemma3,patient,1,sadness,0.025964553401370202
gemma3,patient,1,fear,0.09444746872935889
gemma3,patient,1,anticipation,0.19897487516924353
gemma3,therapist,2,anger,0.018192964149108443
gemma3,therapist,2,trust,0.30467316211469153
gemma3,therapist,2,surprise,0.10991101698302089
gemma3,therapist,2,disgust,0.016416426813178266
gemma3,therapist,2,joy,0.3943103583339049
gemma3,therapist,2,sadness,0.07863097340631706
gemma3,therapist,2,fear,0.04310813419908221
gemma3,therapist,2,anticipation,0.03475696400069662
gemma3,patient,2,anger,0.0
gemma3,patient,2,trust,0.16666666666666666
gemma3,patient,2,surprise,0.16666666666666666
gemma3,patient,2,disgust,0.0
gemma3,patient,2,joy,0.16666666666666666
gemma3,patient,2,sadness,0.16666666666666666
gemma3,patient,2,fear,0.16666666666666666
gemma3,patient,2,anticipation,0.16666666666666666
gemma3,therapist,3,anger,0.13616990284060343
gemma3,therapist,3,trust,0.02520417247148453
gemma3,therapist,3,surprise,0.1251690936022327
gemma3,therapist,3,disgust,0.091483670072246
gemma3,therapist,3,joy,0.11241504586610641
gemma3,therapist,3,sadness,0.0232033529182581
gemma3,therapist,3,fear,0.0844034524794796
gemma3,therapist,3,anticipation,0.40195130974958926
gemma3,patient,3,anger,0.10653060875350179
gemma3,patient,3,trust,0.12186726618416144
gemma3,patient,3,surprise,0.03303071707788692
gemma3,patient,3,disgust,0.03972821866896672
gemma3,patient,3,joy,0.13670924603432322
gemma3,patient,3,sadness,0.3542855605297104
gemma3,patient,3,fear,0.09046105033694368
gemma3,patient,3,anticipation,0.1173873324145059
gemma3,therapist,4,anger,0.04531951678802934
gemma3,therapist,4,trust,0.04378302390762339
gemma3,therapist,4,surprise,0.05647021419953521
gemma3,therapist,4,disgust,0.05425834349945432
gemma3,therapist,4,joy,0.07795015275582415
gemma3,therapist,4,sadness,0.3167978443202596
gemma3,therapist,4,fear,0.2193790262057829
gemma3,therapist,4,anticipation,0.18604187832349098
gemma3,patient,4,anger,0.30273075248719117
gemma3,patient,4,trust,0.12465078214916843
gemma3,patient,4,surprise,0.03074106538744787
gemma3,patient,4,disgust,0.14177076439583833
gemma3,patient,4,joy,0.028366102593537824
gemma3,patient,4,sadness,0.052424723395400295
gemma3,patient,4,fear,0.024943146720322523
gemma3,patient,4,anticipation,0.29437266287109365
gemma3,therapist,5,anger,0.08331901539474196
gemma3,therapist,5,trust,0.009003032733591425
gemma3,therapist,5,surprise,0.03968492397735883
gemma3,therapist,5,disgust,0.14559747477576218
gemma3,therapist,5,joy,0.25954298152147015
gemma3,therapist,5,sadness,0.17876746172292865
gemma3,therapist,5,fear,0.03605554468776766
gemma3,therapist,5,anticipation,0.24802956518637923
gemma3,patient,5,anger,0.2956096423333427
gemma3,patient,5,trust,0.00648084614397548
gemma3,patient,5,surprise,0.06256053160797885
gemma3,patient,5,disgust,0.2565920405071187
gemma3,patient,5,joy,0.07773713164534353
gemma3,patient,5,sadness,0.23564334759035238
gemma3,patient,5,fear,0.030951154549512847
gemma3,patient,5,anticipation,0.034425305622375536
gemma3,therapist,6,anger,0.0026207037538988733
gemma3,therapist,6,trust,0.14492751020983716
gemma3,therapist,6,surprise,0.20412181674580937
gemma3,therapist,6,disgust,0.27871733174137736
gemma3,therapist,6,joy,0.01439341318450191
gemma3,therapist,6,sadness,0.13905896792079103
gemma3,therapist,6,fear,0.1762264969348655
gemma3,therapist,6,anticipation,0.03993375950891881
gemma3,patient,6,anger,0.08954404778222573
gemma3,patient,6,trust,0.12726392676201145
gemma3,patient,6,surprise,0.158841200038889
