emotion,pearson_corr,p_value,n_pairs
anger,0.7103350229994546,9.835170734853553e-138,891
trust,0.8174492724663052,3.393532614480475e-215,891
surprise,0.8333106699153431,4.495674446838385e-231,891
disgust,0.6657299857843596,3.698351690291669e-115,891
joy,0.8244504562834226,5.246250999977481e-222,891
sadness,0.8300525657824652,1.116712096501992e-227,891
fear,0.8205548517089603,3.5176136987818e-218,891
anticipation,0.7735230438503411,2.849163348513179e-178,891
