emotion,pearson_corr,p_value,n_pairs
anger,0.2742365909156145,1.0362868469266975e-18,1000
trust,0.21032825969157065,1.840685186726668e-11,1000
surprise,0.13234783379377577,2.687448597496144e-05,1000
disgust,0.28169716017354185,1.0715014130490573e-19,1000
joy,0.2956209992079707,1.2853246780632955e-21,1000
sadness,0.4115931254983722,3.6303049862248853e-42,1000
fear,0.2316356417844952,1.1989247598645642e-13,1000
anticipation,0.238621498873199,2.0545249894347166e-14,1000
