role,anger,anticipation,disgust,fear,joy,sadness,surprise,trust
therapist,-3.6250369537777924,3.1725095521368214,-3.4175826570939183,-2.2397244127868174,4.345025205729089,0.5846696387544728,0.5963201545469016,3.083516783923605
patient,-2.934463458305925,2.786188895645319,-2.326329107023061,-2.4875271535448045,4.11629641503866,0.6431892033119319,1.6445428982452521,2.578536916349185
